

New occurence at: 2021-03-01 11:25:19.740186, Trojan name: HT1_1 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec 
rbf  , 0.001  , 0.007  ,  0.7689  , 0.79814  , 0.91394  , 0.70866  , 316.3 
rbf  , 0.001  , 0.009  ,  0.7762  , 0.80046  , 0.89781  , 0.72252  , 378.3 
rbf  , 0.001  , 0.011  ,  0.7776  , 0.79779  , 0.87755  , 0.73162  , 440.2 
rbf  , 0.001  , 0.013  ,  0.7791  , 0.79553  , 0.85951  , 0.74067  , 502.2 
rbf  , 0.001  , 0.015  ,  0.7789  , 0.79159  , 0.83992  , 0.74879  , 557.6 
rbf  , 0.001  , 0.017  ,  0.7796  , 0.78904  , 0.82455  , 0.75681  , 619.9 
rbf  , 0.001  , 0.019  ,  0.778  , 0.78436  , 0.80774  , 0.76263  , 680.3 
rbf  , 0.001  , 0.021  ,  0.7769  , 0.78059  , 0.79394  , 0.76803  , 736.4 
rbf  , 0.001  , 0.023  ,  0.7725  , 0.77264  , 0.77333  , 0.77237  , 792.0 
rbf  , 0.001  , 0.025  ,  0.7696  , 0.76633  , 0.75574  , 0.77773  , 847.9 
rbf  , 0.003  , 0.001  ,  0.6002  , 0.7102  , 0.97997  , 0.55699  , 85.7 
rbf  , 0.003  , 0.003  ,  0.7274  , 0.7774  , 0.95222  , 0.65696  , 185.5 
rbf  , 0.003  , 0.005  ,  0.7566  , 0.7931  , 0.93323  , 0.6897  , 257.8 
rbf  , 0.003  , 0.007  ,  0.7694  , 0.79859  , 0.9145  , 0.70901  , 326.4 
rbf  , 0.003  , 0.009  ,  0.7759  , 0.80006  , 0.8968  , 0.72254  , 392.3 
rbf  , 0.003  , 0.011  ,  0.778  , 0.79839  , 0.87916  , 0.73153  , 460.8 
rbf  , 0.003  , 0.013  ,  0.78  , 0.79665  , 0.8619  , 0.74083  , 525.5 
rbf  , 0.003  , 0.015  ,  0.7799  , 0.79316  , 0.84414  , 0.74826  , 589.7 
rbf  , 0.003  , 0.017  ,  0.7795  , 0.78894  , 0.82448  , 0.75664  , 657.7 
rbf  , 0.003  , 0.019  ,  0.7786  , 0.78532  , 0.81015  , 0.7623  , 722.0 
rbf  , 0.003  , 0.021  ,  0.7777  , 0.7817  , 0.79632  , 0.76794  , 785.1 
rbf  , 0.003  , 0.023  ,  0.7733  , 0.77384  , 0.77592  , 0.77212  , 845.1 
rbf  , 0.003  , 0.025  ,  0.7704  , 0.76796  , 0.76011  , 0.77644  , 909.0 
rbf  , 0.005  , 0.001  ,  0.5999  , 0.70996  , 0.97956  , 0.55683  , 85.2 
rbf  , 0.005  , 0.003  ,  0.7277  , 0.77755  , 0.95201  , 0.65726  , 185.7 
rbf  , 0.005  , 0.005  ,  0.7571  , 0.7935  , 0.93364  , 0.69008  , 258.9 
rbf  , 0.005  , 0.007  ,  0.7687  , 0.79806  , 0.91431  , 0.70829  , 328.9 
rbf  , 0.005  , 0.009  ,  0.7752  , 0.79945  , 0.89621  , 0.72194  , 394.9 
rbf  , 0.005  , 0.011  ,  0.7781  , 0.79854  , 0.87957  , 0.73151  , 465.4 
rbf  , 0.005  , 0.013  ,  0.7794  , 0.79605  , 0.86109  , 0.74038  , 529.7 
rbf  , 0.005  , 0.015  ,  0.7797  , 0.79282  , 0.84314  , 0.74846  , 597.4 
rbf  , 0.005  , 0.017  ,  0.779  , 0.78852  , 0.82427  , 0.75602  , 664.7 
rbf  , 0.005  , 0.019  ,  0.7783  , 0.785  , 0.80974  , 0.76207  , 732.8 
rbf  , 0.005  , 0.021  ,  0.7769  , 0.78066  , 0.79433  , 0.76779  , 797.1 
rbf  , 0.005  , 0.023  ,  0.7735  , 0.77413  , 0.77651  , 0.77213  , 856.6 
rbf  , 0.005  , 0.025  ,  0.7695  , 0.76695  , 0.75873  , 0.7758  , 920.3 
rbf  , 0.007  , 0.001  ,  0.6002  , 0.71016  , 0.97976  , 0.55701  , 85.4 
rbf  , 0.007  , 0.003  ,  0.7275  , 0.77746  , 0.95221  , 0.65704  , 186.0 
rbf  , 0.007  , 0.005  ,  0.7573  , 0.79367  , 0.93384  , 0.69023  , 260.4 
rbf  , 0.007  , 0.007  ,  0.7688  , 0.79813  , 0.91431  , 0.7084  , 330.5 
rbf  , 0.007  , 0.009  ,  0.7757  , 0.79984  , 0.8964  , 0.72243  , 396.1 
rbf  , 0.007  , 0.011  ,  0.7782  , 0.79862  , 0.87957  , 0.73163  , 466.5 
rbf  , 0.007  , 0.013  ,  0.7792  , 0.79586  , 0.86089  , 0.74023  , 533.6 
rbf  , 0.007  , 0.015  ,  0.7799  , 0.79301  , 0.84333  , 0.74863  , 600.5 
rbf  , 0.007  , 0.017  ,  0.7795  , 0.78906  , 0.82509  , 0.75634  , 667.4 
rbf  , 0.007  , 0.019  ,  0.7786  , 0.78532  , 0.81015  , 0.76231  , 736.7 
rbf  , 0.007  , 0.021  ,  0.7776  , 0.78145  , 0.79552  , 0.76822  , 801.6 
rbf  , 0.007  , 0.023  ,  0.7735  , 0.77415  , 0.77654  , 0.77216  , 861.9 
rbf  , 0.007  , 0.025  ,  0.7698  , 0.76737  , 0.75951  , 0.77583  , 924.4 
rbf  , 0.009  , 0.001  ,  0.6008  , 0.71037  , 0.97935  , 0.55741  , 88.1 
rbf  , 0.009  , 0.003  ,  0.7276  , 0.77756  , 0.95241  , 0.65709  , 186.1 
rbf  , 0.009  , 0.005  ,  0.7571  , 0.79351  , 0.93364  , 0.69009  , 260.0 
rbf  , 0.009  , 0.007  ,  0.7694  , 0.79862  , 0.91471  , 0.70893  , 329.4 
rbf  , 0.009  , 0.009  ,  0.7756  , 0.79977  , 0.8964  , 0.7223  , 397.3 
rbf  , 0.009  , 0.011  ,  0.7782  , 0.79865  , 0.87977  , 0.73155  , 468.4 
rbf  , 0.009  , 0.013  ,  0.7794  , 0.79609  , 0.86129  , 0.74032  , 533.3 
rbf  , 0.009  , 0.015  ,  0.78  , 0.79316  , 0.84374  , 0.74858  , 602.3 
rbf  , 0.009  , 0.017  ,  0.7793  , 0.78887  , 0.82488  , 0.75618  , 669.8 
