

New occurence at: 2021-03-04 17:10:59.023492, Trojan name: HT1_1 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec, TP   , FN   , FP   , TN 
rbf  , 0.022  , 0.0145  ,  0.84952  , 0.86569  , 0.96781  , 0.78308  , 1848.0  ,  24181   , 819  , 6658  , 18342
rbf  , 0.022  , 0.017  ,  0.85248  , 0.86769  , 0.96541  , 0.78794  , 2008.0  ,  24110   , 890  , 6445  , 18555
rbf  , 0.022  , 0.0195  ,  0.8548  , 0.86908  , 0.96183  , 0.79265  , 2197.0  ,  24019   , 981  , 6271  , 18729
rbf  , 0.022  , 0.022  ,  0.85692  , 0.8704  , 0.95902  , 0.79679  , 2430.0  ,  23912   , 1088  , 6057  , 18943
rbf  , 0.0245  , 0.012  ,  0.84784  , 0.8644  , 0.96789  , 0.78092  , 1848.0  ,  24186   , 814  , 6781  , 18219
rbf  , 0.0245  , 0.0145  ,  0.85068  , 0.8664  , 0.96621  , 0.78528  , 1972.0  ,  24126   , 874  , 6557  , 18443
rbf  , 0.0245  , 0.017  ,  0.85312  , 0.86797  , 0.96358  , 0.78963  , 2114.0  ,  24070   , 930  , 6376  , 18624
rbf  , 0.0245  , 0.0195  ,  0.85576  , 0.8697  , 0.96079  , 0.7944  , 2292.0  ,  23988   , 1012  , 6188  , 18812
rbf  , 0.0245  , 0.022  ,  0.85772  , 0.87093  , 0.95814  , 0.79828  , 2507.0  ,  23896   , 1104  , 6001  , 18999
rbf  , 0.027  , 0.012  ,  0.84884  , 0.86498  , 0.9663  , 0.7829  , 1982.0  ,  24141   , 859  , 6679  , 18321
rbf  , 0.027  , 0.0145  ,  0.8512  , 0.8665  , 0.96374  , 0.7871  , 2096.0  ,  24077   , 923  , 6472  , 18528
rbf  , 0.027  , 0.017  ,  0.85444  , 0.86887  , 0.96247  , 0.79187  , 2231.0  ,  24021   , 979  , 6301  , 18699
rbf  , 0.027  , 0.0195  ,  0.85644  , 0.87007  , 0.95935  , 0.796  , 2390.0  ,  23940   , 1060  , 6121  , 18879
rbf  , 0.027  , 0.022  ,  0.85816  , 0.8711  , 0.95662  , 0.79962  , 2594.0  ,  23851   , 1149  , 5945  , 19055
rbf  , 0.0295  , 0.012  ,  0.84904  , 0.86483  , 0.96382  , 0.78429  , 2111.0  ,  24083   , 917  , 6603  , 18397
rbf  , 0.0295  , 0.0145  ,  0.85168  , 0.86658  , 0.96127  , 0.78888  , 2223.0  ,  24035   , 965  , 6403  , 18597
rbf  , 0.0295  , 0.017  ,  0.85484  , 0.86889  , 0.96  , 0.79359  , 2352.0  ,  23967   , 1033  , 6228  , 18772
