     800,    3600,   26100,    1500,    1000,    1040,    3680,   25980,    1000,     840,
    1100,    1000,   25900,    4300,     700,    1774,     920,   25800,    3640,     880,
    1100,    5100,   26200,    3100,    2900,    1120,    3780,   25840,    3880,    3520,
    1000,    3400,   25600,    4300,    1000,    1140,    3640,   25960,    3340,     920,
    4800,    4400,   25700,    4600,    3900,    4920,    3700,   25540,    4800,    3920,
     800,    3400,   25700,    3100,     800,    1020,    3700,   25980,    3840,     820,
    1300,    1100,   25600,    4300,     700,    1160,     980,   26000,    4320,     800,
    1300,    3300,   25400,    3800,    4600,    1060,    3840,   25800,    3740,    4000,
    4100,    4600,   26100,    4300,     800,    4320,    3720,   26060,    4100,     780,
    4300,    4900,   26100,    3100,    2900,    4320,    4360,   25920,    3640,    3640,
    1000,    1000,   25600,     700,    4800,    1100,     920,   25940,     760,    3920,
    1800,    3600,   25900,    4100,     800,    1280,    4020,   25880,    3700,     880,
    1100,    3800,   25400,    3300,    4300,    1100,    3780,   25780,    3520,    3960,
    1100,    3300,   26100,    4600,     700,    1100,    3840,   26020,    4580,     780,
    1100,    5400,   26200,    3100,    1000,    1060,    4200,   26000,    3520,     860,
    4400,    5100,   25900,    3100,     800,    4560,    4340,   26040,    3020,     920,
    4400,    1000,   26200,     700,     800,    4420,    1040,   25960,     800,    2420,
    4800,    5100,   25600,    3100,    1000,    4580,    4160,   25600,    3720,     800,
    1000,    3600,   25600,    4100,    2800,    1080,    3500,   25840,    4100,    3840,
     800,    4100,   26100,    3300,    4400,    1020,    3800,   25920,    3980,    4100,
    1100,     800,   25700,    1000,    4300,    1120,     880,   25860,     820,    2220,
    1000,    4900,   26200,     800,    2600,    1060,    4040,   26140,     760,    3160,
    4400,    3900,   26100,    3300,    4300,    4420,    3940,   26020,    3320,    4220,
    4400,    3800,   25400,    3100,    3400,    4993,    3920,   25880,    3180,    3600,
    1100,     800,   25600,    3100,    2800,    1160,     880,   25900,    3980,    3920,
    4300,     700,   26100,     700,    2900,    4400,     880,   26100,     820,    4000,
    1300,    3300,   26200,     800,    2800,    1200,    3640,   26060,     840,    3800,
    1500,     800,   26200,    4300,    1000,    1200,     960,   26120,    3660,     820,
    1300,    3400,   25700,    4400,    3900,    1080,    3440,   25720,    3760,    3280,
    4100,     800,   26200,    4300,     800,    4200,     940,   25960,    3460,     820,
    1000,    5100,   26100,     800,    2900,    1060,    3940,   25940,     820,    3900,
    4600,    5100,   26100,    2900,    1000,    4400,    3960,   26060,    3680,     800,
    1000,     800,   25600,     800,    2600,    1120,     820,   25980,     840,    2780,
    4100,     500,   25600,    4300,    4100,    4980,     800,   25840,    3700,    3700,
    1300,    1100,   26200,     800,    1000,    2420,     980,   26160,     800,     920,
